-187,53,0.94,667,3154
-369,-52,2,835,3113
456,-0.84,-130,772,3123
-1064,-146,-3.09,485,3159
-1164,-275,-1.46,383.75,3137
309,115,3.99,831,3196
195,38,1.57,1093,3202
-237,-100,2.33,924,3232.9
880,-22,0.28,1016,3123
653,-74,-0.72,832,3110
-444,-161,-3.5,695,3103.64
881,-449,-1.39,329,3162.67
-1724,-296,-0.75,774,2763
1415,217,2.07,924,2860
735,-79,0.14,1106,2767
685,-17,0.92, 1265,2874
494,48,0.77,92,3159.17
309,115,3.99,831,3196.61
195,38,1.57,1093,3202.08
321,-4,1.26,1046,3253.43
-50,-55,1.15,599,2825
321,42,1.37,686,2913
313,-117,2.07,687.7,2827.11
-5905,-584,-0.19,726,3539
3419,6,-1.83,1285,3627.91
-678,-73,1.51,1167,3578.96
-942,-236,0.79,1011,3434.58
52,-126,1.23,1516,3630.41
467,-100,1.28,1498,3436.3

